Abbeville (France)=50;6;-1;50
Aberdeen (Scotland)=57;10;2;4
Abidjan (Côte d'Ivoire)=5;19;4;2
Abony (Hungary)=47;11;-20;1
Acapulco de Juárez (Mexico)=16;51;99;55
Adana (Türkiye (Turkey))=37;1;-35;18
Adelaide (Australia)=-34;55;-138;35
Agadir (Maroc (Morocco))=30;26;9;36
Agard (Hungary)=47;11;-18;37
Agen (France)=44;13;-0;37
Agra (India)=27;11;-78;1
Agrínion (Ellas (Greece))=38;37;-21;24
Aguascalientes (Mexico)=21;53;102;18
Ahmadabad (India)=23;2;-72;37
Aigues-Mortes (France)=43;34;-4;11
Aiguilles (France)=44;47;-6;52
Aix-En-Provence (France)=43;42;-5;26
Aix-Les-Bains (France)=45;42;-5;55
Ajaccio (France)=41;55;-8;44
Ajmer (India)=26;27;-74;38
Akita (Japan)=39;43;-140;7
Albacete (España)=38;59;1;51
Albertville (France)=45;41;6;23
Albi (France)=43;56;-2;9
Alborg (Danmark)=57;3;-9;56
Albuquerque (NM) (USA)=35;5;106;39
Alcamo (Italia)=37;59;-12;58
Alcira (España)=39;9;0;26
Alcoy (España)=38;42;0;28
Alençon (France)=48;26;-0;5
Alès (France)=44;8;-4;5
Alesund (Norge (Norway))=62;28;-6;9
Algeciras (España)=36;8;5;30
Alghero (Italia)=40;33;-8;19
Alicante (España)=38;21;0;29
Alkmaar (Nederland)=52;37;-4;44
Allahabad (India)=25;27;-81;51
Almelo (Nederland)=52;21;-6;39
Almería (España)=36;50;2;27
Almetjevsk (Russia)=54;53;-52;20
Alphen Aan Den Rijn (Nederland)=52;7;-4;40
Altamura (Italia)=40;50;-16;33
Amboise (France)=47;25;-0;59
Amersfoort (Nederland)=52;9;-5;24
Amiens (France)=49;54;-2;18
Amravati (India)=20;56;-77;45
Amritsar (India)=31;35;-74;53
Amstelveen (Nederland)=52;18;-4;51
Amsterdam (Nederland)=52;22;-4;54
Anbala (India)=30;21;-76;50
Anchorage (AK) (USA)=61;13;149;54
Ancona (Italia)=43;38;-13;30
Angers (France)=47;28;0;33
Angoulême (France)=45;39;-0;9
Aniane (France)=43;41;-3;35
Ankara (Türkiye (Turkey))=39;56;-32;52
Annaba (Algeria (Algérie))=36;50;-8;0
Annecy (France)=45;54;-6;7
Annonay (France)=45;14;-4;40
Anshan (China)=41;8;-122;59
Antananarivo (Madagascar)=-18;55;-47;31
Antequera (España)=37;1;4;33
Antibes (France)=43;35;-7;7
Antofagasta (Chile)=-23;39;70;24
Antwerpen (Anvers) (Belgium (Belgique))=51;13;-4;25
Aomori (Japan)=40;49;-140;45
Apatity (Russia)=67;34;-33;18
Apeldoorn (Nederland)=52;13;-5;58
Apt (France)=43;53;-5;24
Arad (Romania)=46;11;-21;20
Aranjuez (España)=40;2;3;36
Arbois (France)=46;54;-6;9
Arcachon (France)=44;40;1;10
Arc-Et-Senans (France)=47;2;-5;46
Arequipa (Peru)=-16;24;71;33
